0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290
) 웃남,캔잇비 어제 웃남,보고 나서 분명 내 귀랑 심장은그눈떠 웃는남자에 반응했는데왜 하루 지나고 나니 은윈플렌 캔잇비가계속 귓구녕에 맴도는거냐?,분명 어제 나는 은윈플렌 힘 쫙뺀1막에서 약불호였는데.,좀 더 진성으로불러줘요.,은언니 이러면서.캔잇비 고막에서 나가게 하는 방법 좀 알려주라.,통화하다,나도 모르게 이거 흥얼거리고 있음.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은언니 웃는남자 부를 때 키를 낮췄나?,내가 원래 알던 키보다 좀 낮다고 들렸는데 아닌가..?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
머글시절 세종 시야 후기 뮤덕되기 전에 머글시절에도 뮤지컬 좋아해서 1년에 6~8번정도씩 보러 다녔었는데 이번에 본진이 세종 온다는 소식 듣고 예전에 세종 어디 앉았었나 찾아봤거든,세종 너무 넓어서 잘 안보인다는 글이 많은데 나는 그때 시야가 되게 괜찮았던 기억이 있어서근데 완전....,안좋은자리였더라고  지금은 절대 안갈 자리 그때 같은 머글 친구랑 갔었는데 둘다 보면서 시야 괜찮네 좋다 잘보인다,이러면서 봤었어,심지어 오글도 없이좌석표 보니까 저 노란색 표시된 부분에 앉았었더라,그냥 지금 보니까 머글시절 자리에 참 관대했구나 생각이 들어서 올려봐어제 웃는남자 d구역 중앙 가까운 4열에서 보고왔는데 반대편으로 갈때 꽤 멀어서 목아프다..,이러면서 보고 왔는데 저떄는 어떻게 봤나 몰라,지금보니 1층 E열이 S석이라는 것도 놀랍네..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
늅) 세종문화회관 대극장 관련 질문 글 쓰는게처음이라 형식에 맞지 않으면 수정하겠습니다.,죄송합니다.,샤롯데랑 지방공연장만 가봤습니다.,이번에 부모님을 데리고 웃는남자를 보러가게 되었습다.,2층 앞열인데 저는 공연 전체적인 모습을 좋아하지만 혹시 몰라서오글 대여해드리려고 하는데 저녁 공연이면 대부분 몇 시간 전에가서 대여들하실까요?,로비 오픈부터 대여가 가능하다고만 들어서 미리 갈까 싶은데..,물어볼 곳이 마땅히 없어,여기에 올려봅니다.,잘못된게 있으면 삭제하겠습니다.,감사합니다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나 웃는남자 이해 못 한 부분 설명해 줄 수 있는 사람..?,뮤지컬 잘 모르는 머글인데오늘 박은태님 그윈 웃는남자 너무 재미있게 보고 옴무대 연출 너무 좋더라,"암튼 내가 궁금한 건 그윈이 ""그눈을 떠""부르고 의회에서 조롱 당하고 자기가 가진 거 다 버리고 떠나고 나서 남겨진 조시아나 공작부인이 페드로한테너가 불순한 의도로 병 뒤지고 다닌 거 안다, 떠나라는 식으로 신경질 내자나 그러니까 페드로도 뭔가 말 하려다가 알겠다고 하고 떠나구...",근데 난 그 전까지는 페드로가 주인에 대한 충성심으로 병마개 제거사 해서 적자인 그윈을 찾은 좋은 사람으로 생각했고든...??,페드로 나쁜 사람이야?,무슨 불순한 의도로 그윈을 찾은거야??,아는 사람??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃는남자 끝 인터바발임양커도 내 눈물버튼이 될 수 있는거임?레전이야..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃는남자 인터 아니 존나 쫄깃쫄깃한데?????,경력직페어으 힘인가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ )웃남 보고나서 느낀 이상한 감정 (자첫임) 오늘 낮공 보고옴 1막은 진짜 스토리 왤케 재미없어  중간중간 딴 생각나서 억지로 극 몰입할려고 애썼어.,뭔가 극 자체에 긴박감이 없어서 더 그랬던거같아.,인터때 잡아둔 표 어쩌지,이러면서 한숨 걱정 푹푹 쉬다가 2막 때 근심가득하게 앉아서보다 모두의세상 그눈을떠 웃는남자 파바박 쳐맞고 헤롱헤롱대고있는데 갑자기 엉엉 울다가 하늘로 뿅 승천하길래 이결말은 뭘까 다시 허무이러다가 커튼콜때 허거덩,하고 나왔는데 이 감정을 모르겠다,자첫이라 그런가,한번만 더 찍어먹어보면 마음이 바뀌기도 해?,(혹시 이것도 불호글축에 속하면 차내려서 추가할게),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃는남자 끝  은윈플렌 2막이 찐이네모세 눈을떠 웃는남자까지 미쳤어..,웃느남자 끝에 샤우팅 진짜 깜짝놀랐음컷콜 마지막 셋이 막춤추는거 왕귀왕웃였음걸어가다 급하게 티켓 추가!-,dc official App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃는남자 인터 은언니 꿈일까 구름위의천사 귀녹네 녹아,근데 연극끝나고 대사 칠때 틀린거 맞지??,나무는 가난한 자들의 지옥이라고 한거같은데,맞나??-,dc official App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0612 웃는남자 낮공 인터  인터인 바발들 달려달려  나 자첫인데 애기 그윈이 나올때부터 눈물 맺히더라  표 인증!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
웃남,그윈 생각보다 되게 귀여운 캐릭터더라  유튭 박제된 모두의세상 그눈을떠 웃는남자이 넘버들을 자주 봐서 그런가약간 혁명맛?,"진중하고 부조리에 항의하는 그런 캐일줄 알았는데그것도 맞지만 기본적으로 장난끼 있고 귀여운 캐였어궁전에서의 그 느낌보다 더조시아나랑 붙을 때마다 그 어리바리하고 어쩔 줄 몰라 하는 거랑 각하의 소유 침대씬, 상원 첫등장씬이 제일 귀엽고 웃긴듯",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611 웃는남자 낮공 자첫 극위주후기  웃는남자 11일 낮공깡윈 소리데아 민르수스 신시아나 첫공을 보고 와서처음 후기를 올려봐.,자첫의 뻘소리야,그런데 좀 많이 긴 좀 많..,이..,길어서 배우얘기는 빼고 극 위주의 후기인데 초연부터 봐온 갤러들 앞에서 자첫주제에 뻘소리도 길게 하는구나 싶네..,걍 극이 길다 보면 별별 감상도 다 있군,하고 이해해줘!,실수한게 있으면 부드럽게 고나리 부탁할게.,본진은 없고 하데스 애배들 차기작을 따라 돌고 있거든.,뉴깡의 인생캐가 깡올페냐 깡윈이냐 확인하고 싶어서 자연스럽게?,첫공대원으로 합류하게 되었어.,경들 박제넘버도 아주 좋아해서 거기 나오는 상원 무대도 빨리 보고싶었고.,그리고 무엇보다!!,웃남이 갤에서 꿀노잼으로 아주 유명하길래..,내가 이미 3장이나 쥐고 있는데 어쩌냐고 대체 그게 뭔 맛인지 확인하고 싶었음 재미결론부터 얘기하면 생각보다 슴슴히 맛있었다?,이게 영상 돌아다니는 거나 실제로도 무대장치보면 돈 많이 쓴 대극인데 맛은 의외로 슴슴 아기자기 계열이라고 해야 하나?,무대는 엄청 아름답고 이야기 전개는 좀 지루했는데 천천히 스며드는 맛이었음.,재미없게 재밌어,뭐래..,그래서 이게 대체 뭔지 싶어 후기로 정리 해보게 됨..,주의-음향가사 예습없는 자첫인데 음향퀄이 별로라 몇군데 잘못 알아듣고 헛소리 있을 수 있음그윈플렌의 웃음/오락부자들의 낙원은 가난한 자들의 지옥으로 만들어진다고 계급적인 얘기로 시작해서 여기도 혁명맛인가?,예상했는데 결론까지 보고나니 개인적으로 흥미롭게 와닿은건 인생의 행복과 불행이 웃음/오락이라는 관점에서 오락가락하는 순간들이야.,"가난한 자들의 불행을 오락거리로 삼는 귀족들의 행태와 이 못지않게 이웃과 타인의 불행을 구경거리로 삼는 역시 가난한 자들, 그 모든 것이 투영된 주인공 웃는 남자가 웃음의 대상이/배우가 되어 생계를 이어 가다가 자신의 행복할 권리, 행복한 웃음을 갈망하는 여정에 관한 이야기로 느껴졌어.",물론 계급고발 성격이 짙게 깔려 있지만.,"우르수스의 꾸짖음에도 불구하고 행복을 추구하는 그윈은 궁에 들어가 귀족을 만나면 행복할 것 같다가, 자신이 진짜 귀족이 되어 행복한 것 같다가, 결국 데아와 함께함이 최고의 행복이라는 선택을 보여주는.",이 마지막 선택인 자살이 비약적이라 뜬금없다는 평도 이해는 돼.,우르파파..,"극에서 얘기하는 행복은 결핍이 채워진 상태 같은데, 인간은 완벽하지 않기 때문에 그 누구도 (조시아나도!) 그 언젠가도 결핍은 존재하기 마련이고 자신의 가장 큰 결핍이 채워지는 순간이 가장 큰 행복이라는 깨달음이랄지 평소의 척척 실천이의 자세랄지 암튼 그런 연유로 그윈이 계급과 부를 갈망하고 받아들여 보았다가 사랑을 주는 데아와 가족들에게 돌아가는 것과 곧이어 자신에게 가장 큰 결핍을 채워준 (그래서 내 삶의 전부) 데아를 따라가는 것은 같은 흐름이라는 생각이 들어.",누군가의 불행이 다른이에게 웃음/오락이 되는데 나의 행복은 나의 웃음/오락이 아니게 될 때의 충격이 결말에 있었달까,"이게 위고의 짓궂은 점이라는 생각이 드는데 하필 또 뮤는 무대가 있고 무대는 왜 그렇게 눈물나게 예뻐가지고 불행한 과거사건으로 웃는 얼굴을 가진 아이, 가난의 모자람이 있었지만 사랑의 모자람은 없던 걸 깨닫게 된 남자가 자신의 가장 큰 사랑이 가는 자리로 따라가는  우르수스도 데아가 깨어나길 기다리며 극단 사람들을 모아뒀으니까 죽은 데아의 곁을 지켜주러가는 그윈을 말리지 않은 거겠지",우르수스는 뭐가되냐,나도 민르수스의 뒷모습을 보고 가섬에 피눈물이 흐르긴 했지만  아래 글에 댓으로도 짧게 단 적 있는데 난 엔딩에서 둘의 죽음이 바다의 거품처럼 사라지듯 끝나는 게 아니라 우르수스의 불행으로 남아서 그걸 관객이 뮤지컬이라는 오락으로 목격하게 하는게 메타해서 좋더라고.,극 속의 극에서 이웃의 불행을 구경거리 삼는 관중이 된 것처럼.,죽음을 두고 좋다고 해서 싸패같네,미안 우르파파 (영미소설 알못이지만 위고의 소설이 대중소설의 확산과 겹쳤지 않았을까 싶은데 원작소설도 이렇게 관객의 존재를 생각했을까,그런 뻘생각도)조시아나의 선택행복=결핍이 없는 상태를 가장 잘 보여주는게 조시아나라는 생각이 들었어.,조시는 모든 것을 가졌지만 무언가 부족해 무언가 불행하지.,극 속의 오락극을 보러갔다가 그윈을 보고 알게 되지.,"그건 아마도 사랑이라는 스스로의 갈망과 선택인데, 그윈을 통해 내면의 괴물을 끄집어내면(또 하나의 오락을 통해) 솔직한 욕망을 따라가 그 무언가를 찾을 수 있을 것 같다가 (넘버 아무말도 였나?) 숨겨진 출생의 비밀이 발견되어, 여왕의 명으로, 자신의 욕망을 따라가지 않아도 그의 곁에 있게 된 그윈은 그에게 더 이상 선택하는 행복이 아냐.",그윈이 곁에 있어도 행복해지지 못하는 조시아나는 죽어도 데아와 함께 있는 게 행복이라는 그윈의 선택을 반대로 예감하게 했을지도.,그윈과 데아를 거두길 선택한 우르파파의 사랑과 비교될지도.,조시아나의 캐릭터가 매력적으로 흘러서 속으로 그윈조시 밀면서 나울어  데아와 데이빗상대적으로 아쉽게 느껴진건 데아와 데이빗의 캐릭터였는데 이건 내가 자첫으로 따라가기 바빠서 놓쳤을 수 있지만 캐릭터들의 설정이 상대역할을 위해 존재한다고 해야 하나 입체성이 조금 떨어진다는 느낌을 받았어.,이건 내가 자둘을 해봐야바다극에서 앞뒤로 바다가 두 번 나오잖아.,애기 그윈에게 해코지 했던 xxx 무리들이 신의 벌을 받는다며 자결했는데 마지막 그윈의 자살은 신의 벌 보다는 자신의 의지로 여겨져서 이게 좀 연결이 아리까리하네 내가 xxx무리와 귀족들의 관계를 잘 이해못했는데 이것도 자둘해봐야 좀 더 명확해질듯   무대/연출솔직히 무대 유명하다는 거 치고 시작 배경과 처음 바다 멸망씬은 그저 그랬는데 그윈이 데아 데려오는 장면 눈쌓인 풍경이자 눈보라이자 죽은 이들의 유령같은 앙들 움직임부터는 넉 놓고 봄 무대 개예쁘다는게 세트 화려한 것도 있는데 이렇게 그림동화적인 요소가 쥰나 좋았음이게 우르수스네 극 속의 극으로 다시 나오고 인형극처럼 눈가루 뿌리고 별 반짝이는 효과 같은 것도 너무 취저고 조시아나 둥근 의자의 유머나 2막의 거대한 침대 통통씬도 개귀엽고.,아 여관 극장에서 조명 내리는 앙이나 조시 둥근 의자 뒤에서 부채 흔드는 앙 어두운 옷 입은 사람으로 쓰는 것도 너무 좋아..,그윈 엄빠 액자장면도 무디가 또 하면서 봄  어느 넘버더라 새 운명이 열리면 지난 운명은 닫으라는 조언 버리고 궁의 운명과 여관타운의 운명을 연결하겠다는 의지에서 나무숲과 커튼이 뒤섞인 장면 연출도 너무 좋고  아래에서 위로 올려다 보는 듯한 상원씬은 영상으로 보고 엄청 기대했는데 직접봐도 너무 좋았다!!,카페트 계단만 좀 더 있어보이는 걸로 바꿨으면  슬프게도 마지막씬이 제일 아름다운거 인정..,.. 뱃지 안모으는데 뱃지살뻔  아맞다,아기들은 인형 티 안나게 어색하게 드는 거 보다 영화 아.네트처럼 아예 티나게 인형으로 사용하는게 어떨까 싶기도.,"아마도 전캐슷찍으면, 회전 돌다보면 내용을 다르게 이해하게 될수도 있겠지?",일단 잡아 놓은 표는 볼 거 같은데 추가 티켓팅하려니 벌써부터 스트레스긴 해 .,마무리를 못하겠네..,게을러서 후기 정리 안하는데 쓰면 헛소리로 끝을 못내서 그런가봐.,긴 글 읽어줘서 고마워!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
